Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2004,1,1,0,0,0,0,63.95,9
2004,1,1,0,30,0,1,63.96,8
2004,1,1,1,0,0,0,60.81,8
2004,1,1,1,30,0,1,65.1,8
2004,1,1,2,0,0,0,64,8
2004,1,1,2,30,0,0,68.55,7
2004,1,1,3,0,0,4,69.4,7
2004,1,1,3,30,0,0,69.4,7
2004,1,1,4,0,0,0,71.66,7
2004,1,1,4,30,0,0,71.67,7
2004,1,1,5,0,0,0,74.85,7
2004,1,1,5,30,0,0,74.88,7
2004,1,1,6,0,0,1,77.72,7
2004,1,1,6,30,0,1,77.76,7
2004,1,1,7,0,182,1,76.98,8
2004,1,1,7,30,459,0,71.93,9
2004,1,1,8,0,615,1,64.59,11
2004,1,1,8,30,297,3,60.45,12
2004,1,1,9,0,776,0,56.3,14
2004,1,1,9,30,821,1,52.75,15
2004,1,1,10,0,402,3,47.58,16
2004,1,1,10,30,539,8,47.55,17
2004,1,1,11,0,693,8,43.76,18
2004,1,1,11,30,793,7,43.74,18
2004,1,1,12,0,457,7,40.43,18
2004,1,1,12,30,186,6,43.04,18
2004,1,1,13,0,432,7,43.23,18
2004,1,1,13,30,426,7,43.22,18
2004,1,1,14,0,0,6,44.64,18
2004,1,1,14,30,73,7,47.56,17
2004,1,1,15,0,278,8,50.98,17
2004,1,1,15,30,167,8,57.97,15
2004,1,1,16,0,123,7,61.91,14
2004,1,1,16,30,0,7,66.1,13
2004,1,1,17,0,0,7,66.58,13
2004,1,1,17,30,0,7,66.58,13
2004,1,1,18,0,0,7,66.93,13
2004,1,1,18,30,0,7,71.5,12
2004,1,1,19,0,0,7,71.47,12
2004,1,1,19,30,0,7,76.39,11
2004,1,1,20,0,0,7,76.6,11
2004,1,1,20,30,0,7,81.89,10
2004,1,1,21,0,0,7,82.08,10
2004,1,1,21,30,0,7,82.06,10
2004,1,1,22,0,0,7,82.45,10
2004,1,1,22,30,0,7,82.43,10
2004,1,1,23,0,0,7,82.77,10
2004,1,1,23,30,0,0,82.76,9
2004,1,2,0,0,0,0,83.39,9
2004,1,2,0,30,0,0,89.21,9
2004,1,2,1,0,0,0,90.19,9
2004,1,2,1,30,0,0,90.17,8
2004,1,2,2,0,0,0,91.28,8
2004,1,2,2,30,0,0,97.7,8
2004,1,2,3,0,0,0,98.81,8
2004,1,2,3,30,0,0,98.81,7
2004,1,2,4,0,0,0,99.39,7
2004,1,2,4,30,0,0,100,7
2004,1,2,5,0,0,0,100,7
2004,1,2,5,30,0,7,100,7
