Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2009,1,1,0,30,0,0,96.6,20,1010
2009,1,1,1,30,0,0,96.4,20,1010
2009,1,1,2,30,0,0,100,19,1010
2009,1,1,3,30,0,0,100,19,1010
2009,1,1,4,30,0,0,100,19,1010
2009,1,1,5,30,0,0,100,18,1010
2009,1,1,6,30,0,0,100,19,1010
2009,1,1,7,30,525,0,90.49,21,1010
2009,1,1,8,30,753,0,77.74,23,1010
2009,1,1,9,30,862,0,60.19,26,1010
2009,1,1,10,30,912,0,52.32,27,1010
2009,1,1,11,30,934,0,46.57,28,1010
2009,1,1,12,30,935,0,42.19,29,1010
2009,1,1,13,30,915,0,38.84,30,1010
2009,1,1,14,30,867,0,40.51,29,1010
2009,1,1,15,30,749,2,42.9,28,1010
2009,1,1,16,30,0,3,46.15,27,1010
2009,1,1,17,30,0,0,55.67,25,1010
2009,1,1,18,30,0,0,62.51,24,1010
2009,1,1,19,30,0,0,64.76,24,1010
2009,1,1,20,30,0,0,70.55,23,1010
2009,1,1,21,30,0,0,71.45,23,1010
2009,1,1,22,30,0,0,76.35,22,1010
2009,1,1,23,30,0,0,76.1,22,1010
2009,1,2,0,30,0,0,80.52,21,1010
2009,1,2,1,30,0,0,80.21,21,1010
2009,1,2,2,30,0,0,80.41,21,1010
2009,1,2,3,30,0,1,86.55,20,1010
2009,1,2,4,30,0,0,88.11,20,1010
2009,1,2,5,30,0,3,90,20,1010
2009,1,2,6,30,0,0,91.6,20,1010
2009,1,2,7,30,484,0,87.56,21,1010
2009,1,2,8,30,724,0,74.75,24,1010
2009,1,2,9,30,836,0,63.95,26,1010
2009,1,2,10,30,893,0,56.33,27,1010
2009,1,2,11,30,917,1,49.8,28,1010
2009,1,2,12,30,908,0,44.59,29,1010
2009,1,2,13,30,54,3,40.55,30,1010
2009,1,2,14,30,254,3,39.66,30,1010
2009,1,2,15,30,52,3,41.85,29,1010
2009,1,2,16,30,18,3,44.98,28,1010
2009,1,2,17,30,0,3,52.48,26,1010
2009,1,2,18,30,0,0,54.79,26,1010
2009,1,2,19,30,0,0,59.77,25,1010
2009,1,2,20,30,0,0,64.88,24,1010
2009,1,2,21,30,0,0,65.7,24,1010
2009,1,2,22,30,0,3,70.2,23,1010
2009,1,2,23,30,0,0,70.28,23,1010
2009,1,3,0,30,0,1,74.46,22,1010
2009,1,3,1,30,0,0,74.84,22,1010
2009,1,3,2,30,0,0,80.49,21,1010
2009,1,3,3,30,0,0,81.61,21,1010
2009,1,3,4,30,0,0,87.93,20,1010
2009,1,3,5,30,0,0,89.06,20,1010
2009,1,3,6,30,0,0,90.27,20,1010
2009,1,3,7,30,490,0,81.06,22,1010
2009,1,3,8,30,733,0,73.3,24,1010
2009,1,3,9,30,820,0,59.71,27,1010
2009,1,3,10,30,877,0,53.58,28,1010
2009,1,3,11,30,900,1,48.65,29,1010
2009,1,3,12,30,310,2,45.07,30,1010
2009,1,3,13,30,864,2,41.9,31,1000
2009,1,3,14,30,25,3,43.68,30,1000
2009,1,3,15,30,705,0,43.59,30,1000
2009,1,3,16,30,481,0,46.79,29,1000
2009,1,3,17,30,0,0,54.17,27,1010
2009,1,3,18,30,0,0,58.93,26,1010
2009,1,3,19,30,0,0,59.93,26,1010
2009,1,3,20,30,0,0,61,26,1010
2009,1,3,21,30,0,0,65.97,25,1010
2009,1,3,22,30,0,0,71.69,24,1010
2009,1,3,23,30,0,0,77.39,23,1010
2009,1,4,0,30,0,0,78.51,23,1010
2009,1,4,1,30,0,0,84.34,22,1010
2009,1,4,2,30,0,0,85.1,22,1010
2009,1,4,3,30,0,0,85.78,22,1010
2009,1,4,4,30,0,0,91.77,21,1010
2009,1,4,5,30,0,0,92.37,21,1010
2009,1,4,6,30,0,0,92.64,21,1010
2009,1,4,7,30,457,0,82.63,23,1010
2009,1,4,8,30,701,0,74.79,25,1010
2009,1,4,9,30,814,0,65.81,27,1010
2009,1,4,10,30,261,2,56.78,29,1010
2009,1,4,11,30,371,2,51.54,30,1010
2009,1,4,12,30,899,1,46.47,31,1010
2009,1,4,13,30,878,2,42,32,1010
2009,1,4,14,30,823,0,40.91,32,1010
2009,1,4,15,30,216,2,42.78,31,1010
2009,1,4,16,30,524,0,45.14,30,1010
2009,1,4,17,30,0,0,52.31,28,1010
2009,1,4,18,30,0,0,57.5,27,1010
2009,1,4,19,30,0,1,59.02,27,1010
2009,1,4,20,30,0,1,63.88,26,1010
2009,1,4,21,30,0,3,64.98,26,1010
2009,1,4,22,30,0,1,70.54,25,1010
2009,1,4,23,30,0,3,72.84,25,1010
2009,1,5,0,30,0,1,79.38,24,1010
2009,1,5,1,30,0,0,80.49,24,1010
2009,1,5,2,30,0,0,86.12,23,1010
2009,1,5,3,30,0,0,86.59,23,1010
2009,1,5,4,30,0,0,92.38,22,1010
2009,1,5,5,30,0,0,92.65,22,1010
2009,1,5,6,30,0,1,92.87,22,1010
2009,1,5,7,30,455,0,82.38,24,1010
2009,1,5,8,30,706,0,71.19,26,1010
2009,1,5,9,30,826,0,64.09,27,1010
2009,1,5,10,30,884,0,54.41,29,1010
2009,1,5,11,30,909,0,49.08,30,1010
2009,1,5,12,30,302,2,44.44,31,1010
2009,1,5,13,30,867,0,42.83,31,1010
2009,1,5,14,30,140,3,41.54,31,1010
2009,1,5,15,30,709,0,43.4,30,1010
2009,1,5,16,30,493,0,46.19,29,1010
2009,1,5,17,30,0,1,50.35,28,1010
2009,1,5,18,30,0,0,58.59,26,1010
2009,1,5,19,30,0,0,59.65,26,1010
2009,1,5,20,30,0,0,64.27,25,1010
2009,1,5,21,30,0,0,64.76,25,1010
2009,1,5,22,30,0,0,68.63,24,1010
2009,1,5,23,30,0,0,68.33,24,1010
2009,1,6,0,30,0,0,72.41,23,1010
2009,1,6,1,30,0,0,77.11,22,1010
2009,1,6,2,30,0,0,78,22,1010
2009,1,6,3,30,0,0,84.29,21,1010
2009,1,6,4,30,0,0,85.71,21,1010
2009,1,6,5,30,0,0,87.09,21,1010
2009,1,6,6,30,0,0,88.39,21,1010
2009,1,6,7,30,547,0,84.32,22,1010
2009,1,6,8,30,782,0,70.33,25,1010
2009,1,6,9,30,888,0,58.99,27,1010
2009,1,6,10,30,938,0,48.65,29,1010
2009,1,6,11,30,958,0,43.16,30,1000
2009,1,6,12,30,956,0,38.85,31,1000
2009,1,6,13,30,934,0,35.53,32,1000
2009,1,6,14,30,886,0,34.7,32,1000
2009,1,6,15,30,791,0,36.41,31,1000
2009,1,6,16,30,592,0,38.99,30,1000
2009,1,6,17,30,0,0,43.19,29,1000
2009,1,6,18,30,0,0,50.64,27,1000
2009,1,6,19,30,0,0,55.53,26,1000
2009,1,6,20,30,0,0,58.02,26,1000
2009,1,6,21,30,0,0,64.4,25,1000
2009,1,6,22,30,0,0,66.91,25,1000
2009,1,6,23,30,0,0,73.22,24,1000
2009,1,7,0,30,0,0,74.85,24,1000
2009,1,7,1,30,0,0,76.46,24,1000
2009,1,7,2,30,0,0,82.62,23,1000
2009,1,7,3,30,0,0,83.69,23,1000
2009,1,7,4,30,0,0,89.75,22,1010
2009,1,7,5,30,0,1,90.43,22,1010
2009,1,7,6,30,0,1,91.03,22,1010
2009,1,7,7,30,387,0,81.27,24,1010
2009,1,7,8,30,642,0,72.67,26,1010
2009,1,7,9,30,754,0,61.94,28,1010
2009,1,7,10,30,806,0,55.26,29,1010
2009,1,7,11,30,34,2,50.52,30,1010
2009,1,7,12,30,256,2,49.28,30,1010
2009,1,7,13,30,738,1,48.82,30,1010
2009,1,7,14,30,672,2,52.24,29,1000
2009,1,7,15,30,298,3,56.19,28,1010
2009,1,7,16,30,190,2,60.57,27,1010
2009,1,7,17,30,0,2,65.87,26,1010
2009,1,7,18,30,0,7,76.13,24,1010
2009,1,7,19,30,0,7,77.95,24,1010
2009,1,7,20,30,0,7,84.38,23,1010
2009,1,7,21,30,0,8,85.41,23,1010
2009,1,7,22,30,0,7,91.16,22,1010
2009,1,7,23,30,0,7,91.21,22,1010
2009,1,8,0,30,0,7,91.15,22,1010
2009,1,8,1,30,0,7,96.83,21,1010
2009,1,8,2,30,0,7,96.85,21,1010
2009,1,8,3,30,0,7,96.81,21,1010
2009,1,8,4,30,0,7,100,20,1010
2009,1,8,5,30,0,7,100,20,1010
2009,1,8,6,30,0,3,100,20,1010
