Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew_Point,Surface_Albedo,Wind_Speed,Relative_Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,9,0.172,1.6,95.99,11,1000
2017,1,1,0,30,0,0,0,9,0.172,1.9,100,10,1000
2017,1,1,1,0,0,0,0,8,0.172,2.2,96.53,10,1000
2017,1,1,1,30,0,0,0,8,0.172,2.1,100,9,1000
2017,1,1,2,0,0,0,0,7,0.172,2,96.68,9,1000
2017,1,1,2,30,0,0,0,7,0.172,2,96.67,9,1000
2017,1,1,3,0,0,0,0,6,0.172,2,91.19,9,1000
2017,1,1,3,30,0,0,0,6,0.172,2.2,97.61,8,1000
2017,1,1,4,0,0,0,0,5,0.172,2.5,92.93,8,1000
2017,1,1,4,30,0,0,0,5,0.172,2.6,92.93,7,1000
2017,1,1,5,0,0,0,0,5,0.172,2.8,87.53,7,1000
2017,1,1,5,30,0,0,0,5,0.172,2.7,93.77,7,1000
2017,1,1,6,0,0,0,0,4,0.172,2.7,88.58,7,1000
2017,1,1,6,30,0,0,0,4,0.172,2.9,88.6,7,1000
2017,1,1,7,0,15,230,23,4,0.172,3.2,83.48,8,1000
2017,1,1,7,30,35,505,101,4,0.172,3.7,78,9,1000
2017,1,1,8,0,50,640,190,4,0.172,4.3,67.52,11,1000
2017,1,1,8,30,60,733,279,4,0.172,4.7,63.19,12,1000
2017,1,1,9,0,71,778,360,3,0.172,5.2,56.31,13,1000
2017,1,1,9,30,76,822,433,3,0.172,5,52.75,14,1000
2017,1,1,10,0,79,858,494,3,0.172,4.8,46.53,15,1000
2017,1,1,10,30,82,879,542,3,0.172,4.8,46.52,16,1000
2017,1,1,11,0,86,887,574,4,0.172,4.8,45.02,17,1000
2017,1,1,11,30,87,894,591,4,0.172,4.9,45.01,17,1000
2017,1,1,12,0,88,893,591,4,0.172,5,43.22,18,1000
2017,1,1,12,30,87,887,576,4,0.172,5.1,43.22,18,1000
2017,1,1,13,0,86,873,545,4,0.172,5.2,43.94,18,1000
2017,1,1,13,30,83,853,498,4,0.172,5.1,43.94,17,1000
2017,1,1,14,0,78,823,438,4,0.172,5,44.48,17,1000
2017,1,1,14,30,73,779,365,4,0.172,4.6,47.4,16,1000
2017,1,1,15,0,64,720,283,5,0.172,4.3,52.07,16,1000
2017,1,1,15,30,54,623,193,5,0.172,3.3,59.27,14,1000
2017,1,1,16,0,39,479,104,5,0.172,2.4,65.49,13,1000
2017,1,1,16,30,17,208,26,5,0.172,2.1,69.99,12,1000
2017,1,1,17,0,0,0,0,5,0.172,1.8,73.33,11,1000
2017,1,1,17,30,0,0,0,5,0.172,1.7,78.43,10,1010
2017,1,1,18,0,0,0,0,5,0.172,1.6,78.24,10,1010
2017,1,1,18,30,0,0,0,5,0.172,1.6,78.28,9,1010
2017,1,1,19,0,0,0,0,5,0.172,1.7,78.14,9,1010
2017,1,1,19,30,0,0,0,5,0.172,1.7,83.63,9,1010
2017,1,1,20,0,0,0,0,5,0.172,1.8,83.62,9,1010
2017,1,1,20,30,0,0,0,5,0.172,1.7,83.64,8,1010
2017,1,1,21,0,0,0,0,5,0.172,1.7,84,8,1010
2017,1,1,21,30,0,0,0,5,0.172,1.6,84.01,8,1010
2017,1,1,22,0,0,0,0,5,0.172,1.5,84.75,9,1010
2017,1,1,22,30,0,0,0,5,0.172,1.3,84.73,9,1010
2017,1,1,23,0,0,0,0,5,0.172,1.2,85.13,9,1010
2017,1,1,23,30,0,0,0,5,0.172,1.1,85.12,9,1010
2017,1,2,0,0,0,0,0,5,0.172,1,84.86,9,1010
2017,1,2,0,30,0,0,0,5,0.172,0.8,84.84,9,1010
