Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky_DHI,Clearsky_DNI,Clearsky_GHI,Cloud_Type,Solar_Zenith_Angle,Fill_Flag,Surface_Albedo,Wind_Speed,Precipitable_Water,Wind_Direction,Relative_Humidity,Temperature,Pressure
2019,1,1,0,0,0,0,0,0,0,0,4,169.84,0,0.18,1,0.7,271,71.88,5.5,1015
2019,1,1,0,30,0,0,0,0,0,0,4,166.22,0,0.18,1,0.7,281,74.41,5,1015
2019,1,1,1,0,0,0,0,0,0,0,4,160.93,0,0.18,1.1,0.6,291,74.22,4.5,1016
2019,1,1,1,30,0,0,0,0,0,0,7,155.03,0,0.18,1.1,0.6,303,75.79,4.2,1016
2019,1,1,2,0,0,0,0,0,0,0,4,148.86,0,0.18,1.2,0.6,314,73.09,3.9,1016
2019,1,1,2,30,0,0,0,0,0,0,4,142.6,0,0.18,1.2,0.6,326,74.65,3.6,1016
2019,1,1,3,0,0,0,0,0,0,0,4,136.29,0,0.18,1.3,0.5,338,70.56,3.4,1016
2019,1,1,3,30,0,0,0,0,0,0,4,129.98,0,0.18,1.3,0.5,343,72.07,3.1,1016
2019,1,1,4,0,0,0,0,0,0,0,0,123.7,0,0.18,1.4,0.5,349,68.4,2.7,1017
2019,1,1,4,30,0,0,0,0,0,0,0,117.47,0,0.18,1.4,0.5,345,69.37,2.5,1017
2019,1,1,5,0,0,0,0,0,0,0,0,111.31,0,0.18,1.4,0.5,342,65.07,2.2,1018
2019,1,1,5,30,0,0,0,0,0,0,0,105.24,0,0.18,1.4,0.4,334,66.01,2,1018
2019,1,1,6,0,0,0,0,0,0,0,0,99.29,0,0.18,1.4,0.4,326,62.76,1.7,1019
2019,1,1,6,30,0,0,0,0,0,0,4,93.49,0,0.18,1.5,0.4,320,58.04,2.8,1019
2019,1,1,7,0,12,44,14,20,243,30,4,87.59,61,0.18,1.6,0.4,313,54.43,3.8,1019
2019,1,1,7,30,43,114,58,37,553,110,4,82.37,86,0.18,2.4,0.4,314,48.39,5.5,1020
2019,1,1,8,0,67,346,143,49,704,204,2,77.29,57,0.18,3.3,0.4,314,41.54,7.1,1020
2019,1,1,8,30,58,793,296,58,793,296,0,72.53,0,0.18,3.9,0.4,331,38.03,8.4,1020
2019,1,1,9,0,66,849,382,66,849,382,0,68.17,0,0.18,4.5,0.4,348,26.98,9.8,1021
2019,1,1,9,30,71,892,458,71,892,458,0,64.3,0,0.18,4.9,0.4,353,25.56,10.6,1020
2019,1,1,10,0,75,920,521,75,920,521,0,61.03,0,0.18,5.3,0.4,357,20.1,11.4,1020
2019,1,1,10,30,80,934,569,80,934,569,0,58.44,0,0.18,5.4,0.4,358,19.45,11.9,1020
2019,1,1,11,0,85,938,601,85,938,601,0,56.64,0,0.18,5.5,0.4,358,17.4,12.4,1019
