Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,1,0,0,0,0.9,75.2,5.7,1015
2019,1,1,0,30,0,1,77.93,5.2,1016
2019,1,1,1,0,0,1,77.32,4.8,1016
2019,1,1,1,30,0,1.1,78.96,4.5,1016
2019,1,1,2,0,0,1.1,76.43,4.2,1016
2019,1,1,2,30,0,1.2,78.05,3.9,1016
2019,1,1,3,0,0,1.2,74.14,3.7,1016
2019,1,1,3,30,0,1.3,76.33,3.3,1017
2019,1,1,4,0,0,1.3,72.54,2.9,1017
2019,1,1,4,30,0,1.3,74.1,2.6,1017
2019,1,1,5,0,0,1.3,69.59,2.2,1018
2019,1,1,5,30,0,1.3,70.59,2,1018
2019,1,1,6,0,0,1.3,66.23,1.7,1019
2019,1,1,6,30,0,1.4,61.25,2.8,1019
2019,1,1,7,0,21,1.5,56.62,3.9,1020
2019,1,1,7,30,80,2.3,50.3,5.6,1020
2019,1,1,8,0,176,3.2,42.62,7.3,1020
2019,1,1,8,30,298,3.8,39.32,8.5,1021
2019,1,1,9,0,384,4.4,27.69,9.8,1021
2019,1,1,9,30,460,4.8,26.25,10.6,1021
2019,1,1,10,0,523,5.2,20.22,11.5,1021
2019,1,1,10,30,571,5.3,19.67,11.9,1020
2019,1,1,11,0,603,5.4,17.4,12.4,1019
2019,1,1,11,30,622,5.4,17.07,12.7,1019
2019,1,1,12,0,624,5.4,15.97,12.9,1019
2019,1,1,12,30,604,5.4,15.85,13,1018
2019,1,1,13,0,567,5.4,15.22,13,1018
2019,1,1,13,30,518,5.3,15.52,12.7,1018
2019,1,1,14,0,454,5.2,15.25,12.5,1018
2019,1,1,14,30,378,4.8,15.86,11.9,1018
2019,1,1,15,0,293,4.3,17.05,11.2,1018
2019,1,1,15,30,200,4.3,17.05,11.2,1018
2019,1,1,16,0,108,2.1,27.83,7.3,1019
2019,1,1,16,30,29,1.9,30.01,6.2,1019
2019,1,1,17,0,0,1.8,32.72,5.2,1019
2019,1,1,17,30,0,1.8,33.67,4.8,1020
2019,1,1,18,0,0,1.7,33.91,4.4,1020
2019,1,1,18,30,0,1.7,35.11,3.9,1020
2019,1,1,19,0,0,1.6,36.45,3.5,1021
2019,1,1,19,30,0,1.6,36.97,3.3,1021
2019,1,1,20,0,0,1.6,37.67,3,1021
2019,1,1,20,30,0,1.6,38.21,2.8,1021
2019,1,1,21,0,0,1.6,38.24,2.7,1021
2019,1,1,21,30,0,1.7,38.51,2.6,1021
2019,1,1,22,0,0,1.8,38.62,2.5,1020
2019,1,1,22,30,0,1.9,38.62,2.5,1020
2019,1,1,23,0,0,1.9,39.02,2.4,1020
2019,1,1,23,30,0,1.9,39.3,2.3,1020
2019,1,2,0,0,0,1.9,40.14,2.2,1020
2019,1,2,0,30,0,1.9,40.43,2.1,1020
2019,1,2,1,0,0,1.8,41.33,2,1020
2019,1,2,1,30,0,1.8,41.62,1.9,1020
2019,1,2,2,0,0,1.8,42.04,1.9,1020
2019,1,2,2,30,0,1.9,42.04,1.9,1020
2019,1,2,3,0,0,1.9,42.84,1.8,1020
2019,1,2,3,30,0,2,42.84,1.8,1020
2019,1,2,4,0,0,2,43,1.8,1020
2019,1,2,4,30,0,2.1,42.7,1.9,1020
2019,1,2,5,0,0,2.2,42.19,1.9,1020
2019,1,2,5,30,0,2.2,42.23,1.9,1021
2019,1,2,6,0,0,2.2,41.78,1.8,1022
2019,1,2,6,30,0,2.3,38.09,3.1,1022
2019,1,2,7,0,24,2.3,36.44,4.3,1023
2019,1,2,7,30,82,3.2,31.5,6.4,1023
2019,1,2,8,0,159,4.1,25.75,8.5,1024
2019,1,2,8,30,300,4.5,23.75,9.7,1024
2019,1,2,9,0,386,5,18.97,10.8,1024
2019,1,2,9,30,462,5.1,18.09,11.5,1023
2019,1,2,10,0,524,5.2,16.56,12.2,1023
2019,1,2,10,30,573,5.2,16.02,12.7,1023
2019,1,2,11,0,606,5.2,15.17,13.3,1022
2019,1,2,11,30,622,5.1,14.78,13.7,1022
2019,1,2,12,0,621,5.1,14,14.1,1022
2019,1,2,12,30,600,4.9,13.9,14.2,1021
2019,1,2,13,0,561,4.7,13.26,14.4,1021
2019,1,2,13,30,512,4.5,13.35,14.3,1021
2019,1,2,14,0,447,4.2,13.22,14.2,1021
2019,1,2,14,30,371,3.3,13.92,13.4,1021
2019,1,2,15,0,286,2.3,19.35,12.6,1021
2019,1,2,15,30,195,2.3,19.35,12.6,1021
2019,1,2,16,0,105,1.3,33.03,8.1,1022
2019,1,2,16,30,30,1.4,35.11,7.2,1022
2019,1,2,17,0,0,1.4,33.71,6.4,1022
2019,1,2,17,30,0,1.5,34.65,6,1022
2019,1,2,18,0,0,1.5,34.07,5.6,1023
2019,1,2,18,30,0,1.5,34.54,5.4,1023
2019,1,2,19,0,0,1.5,34.11,5.1,1023
2019,1,2,19,30,0,1.5,34.34,5,1023
2019,1,2,20,0,0,1.5,34.06,4.8,1023
2019,1,2,20,30,0,1.5,33.82,4.9,1023
2019,1,2,21,0,0,1.5,32.77,5,1023
2019,1,2,21,30,0,1.5,32.54,5.1,1023
2019,1,2,22,0,0,1.5,31.23,5.3,1023
2019,1,2,22,30,0,1.5,31.23,5.3,1023
2019,1,2,23,0,0,1.5,30.48,5.4,1023
2019,1,2,23,30,0,1.4,30.91,5.2,1023
2019,1,3,0,0,0,1.4,31.15,5.1,1023
2019,1,3,0,30,0,1.4,32.03,4.7,1023
2019,1,3,1,0,0,1.4,33.25,4.4,1023
2019,1,3,1,30,0,1.4,34.16,4,1022
2019,1,3,2,0,0,1.4,36.1,3.5,1022
2019,1,3,2,30,0,1.4,36.87,3.2,1022
2019,1,3,3,0,0,1.4,38.38,2.9,1022
2019,1,3,3,30,0,1.4,39.2,2.6,1022
2019,1,3,4,0,0,1.3,40.07,2.4,1022
2019,1,3,4,30,0,1.3,40.97,2.1,1023
2019,1,3,5,0,0,1.4,42.09,1.9,1023
2019,1,3,5,30,0,1.4,42.39,1.8,1023
2019,1,3,6,0,0,1.4,43.67,1.6,1023
2019,1,3,6,30,0,1.3,41,2.5,1024
2019,1,3,7,0,23,1.2,45.22,3.3,1024
2019,1,3,7,30,90,1.9,39.05,5.4,1024
2019,1,3,8,0,187,2.5,32.44,7.5,1025
2019,1,3,8,30,301,2.7,29.5,8.9,1025
2019,1,3,9,0,389,2.8,25.05,10.2,1024
2019,1,3,9,30,465,2.8,22.98,11.5,1024
2019,1,3,10,0,528,2.9,20.64,12.8,1023
2019,1,3,10,30,578,2.9,19.59,13.6,1023
2019,1,3,11,0,612,2.9,18.24,14.5,1022
2019,1,3,11,30,630,2.9,17.65,15,1021
2019,1,3,12,0,631,2.9,16.82,15.5,1021
2019,1,3,12,30,614,2.9,16.59,15.7,1020
2019,1,3,13,0,581,2.8,16.1,15.9,1020
2019,1,3,13,30,532,2.6,16.18,15.8,1019
2019,1,3,14,0,469,2.4,16.24,15.7,1019
2019,1,3,14,30,394,1.8,17.21,14.8,1019
2019,1,3,15,0,307,1.2,27.29,14,1019
2019,1,3,15,30,214,1.2,27.29,14,1019
2019,1,3,16,0,119,1,30.44,10.8,1019
2019,1,3,16,30,37,1,31.89,10.1,1019
2019,1,3,17,0,0,1.1,28.04,9.5,1019
2019,1,3,17,30,0,1.2,29.81,8.6,1020
2019,1,3,18,0,0,1.3,32.16,7.7,1020
2019,1,3,18,30,0,1.4,33.73,7,1020
2019,1,3,19,0,0,1.5,36.04,6.2,1020
2019,1,3,19,30,0,1.5,36.79,5.9,1020
2019,1,3,20,0,0,1.5,37.27,5.5,1020
2019,1,3,20,30,0,1.5,37.53,5.4,1020
2019,1,3,21,0,0,1.6,37.07,5.3,1020
